epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.57072,0.53095,0.98889,1,0.13854,0.00036674,0.00036674,0.00036674
2,17.7202,0.15297,0.98889,1,0.0243,0.000675885,0.000675885,0.000675885
3,25.6323,0.04134,0.98889,1,0.01058,0.000909115,0.000909115,0.000909115
4,34.0056,0.02975,1,1,0.00563,0.00106643,0.00106643,0.00106643
5,42.7913,0.01857,1,1,0.00495,0.00100687,0.00100687,0.00100687
6,53.9165,0.02602,0.98889,1,0.02048,0.000841835,0.000841835,0.000841835
7,66.848,0.00984,1,1,0.007,0.000676802,0.000676802,0.000676802
8,76.3652,0.00515,1,1,0.00768,0.000511769,0.000511769,0.000511769
9,85.2275,0.03649,1,1,0.00294,0.000346736,0.000346736,0.000346736
10,93.5428,0.0099,1,1,0.00124,0.000181703,0.000181703,0.000181703
